id,relative_path,filename,extension,size_bytes,sha256,width_px,height_px,camera_make,camera_model,exif_creation,file_birthtime,file_mtime,gps_latitude,gps_longitude,duplicate_hint_from_name,duplicate_group_id,duplicate_of,session_group_id,session_index,seconds_since_prev,img_number,artifact_group_id,item_title,item_type,subject,location_guess,notes
img_0052,raw/imgs/IMG_3347.jpeg,IMG_3347.jpeg,.jpeg,2363172,05f9293916c04648b74d4a3f8d21b77eb15edbaca63aecd09db4e665d8cc5b61,4032,3024,Apple,iPhone XR,2023:06:21 15:04:32,2023-06-21 15:04:32,2025-12-18 22:51:20,,,False,D0036,,S0019,2,6.0,3347,S0019,,,,,
img_0053,raw/imgs/IMG_3348.jpeg,IMG_3348.jpeg,.jpeg,2736266,e958a8a8fa68662704d362e5984fab5b28b246992977fabba29090a35cc35178,4032,3024,Apple,iPhone XR,2023:06:21 15:04:43,2023-06-21 15:04:43,2025-12-18 22:51:20,,,False,D0037,,S0019,3,11.0,3348,S0019,,,,,
img_0054,raw/imgs/IMG_3349.jpeg,IMG_3349.jpeg,.jpeg,2609657,222b3932759581e6440508a6cf597537c8a2ad33387f0461f1c2252244cdf7e1,4032,3024,Apple,iPhone XR,2023:06:21 15:04:55,2023-06-21 15:04:55,2025-12-18 22:51:21,,,False,D0038,,S0019,4,12.0,3349,S0019,,,,,
img_0055,raw/imgs/IMG_3350.jpeg,IMG_3350.jpeg,.jpeg,2617524,613f62c7a1a31659f1b1c88089afc3bd8d2e657f3f142fa90ad4c412d743cfef,4032,3024,Apple,iPhone XR,2023:06:21 15:05:05,2023-06-21 15:05:05,2025-12-18 22:51:22,,,False,D0039,,S0019,5,10.0,3350,S0019,,,,,
img_0056,raw/imgs/IMG_3351.jpeg,IMG_3351.jpeg,.jpeg,2582740,64c417c4f3ce7b96acf55c83bafa09675e0f9029f71719d086eb775703f91931,4032,3024,Apple,iPhone XR,2023:06:21 15:05:17,2023-06-21 15:05:17,2025-12-18 22:51:22,,,False,D0040,,S0019,6,12.0,3351,S0019,,,,,
img_0057,raw/imgs/IMG_3352.jpeg,IMG_3352.jpeg,.jpeg,2665050,af9d3ccb3be350a71fdc4b1f6ccdc11a8b58b509fe43ec593fcaac9da4ae4d39,4032,3024,Apple,iPhone XR,2023:06:21 15:05:32,2023-06-21 15:05:32,2025-12-18 22:51:23,,,False,D0041,,S0019,7,15.0,3352,S0019,,,,,
img_0058,raw/imgs/IMG_3353.jpeg,IMG_3353.jpeg,.jpeg,2521827,70663d77d4c034565beaf0d02faf50a5c0d05d2f04b925730218e729ad458cd0,4032,3024,Apple,iPhone XR,2023:06:21 15:05:46,2023-06-21 15:05:46,2025-12-18 22:51:24,,,False,D0042,,S0019,8,14.0,3353,S0019,,,,,
img_0059,raw/imgs/IMG_3354.jpeg,IMG_3354.jpeg,.jpeg,2588261,8663b8ed7c295ef060ff91d37252866a302c2182978bddd119ad2f538361fc09,4032,3024,Apple,iPhone XR,2023:06:21 15:05:56,2023-06-21 15:05:56,2025-12-18 22:51:24,,,False,D0043,,S0019,9,10.0,3354,S0019,,,,,
img_0060,raw/imgs/IMG_3355.jpeg,IMG_3355.jpeg,.jpeg,2367538,1c72432c2a65fb7b975a7404184a13e8b58d254a11337e1ee942650c58638077,4032,3024,Apple,iPhone XR,2023:06:21 15:06:05,2023-06-21 15:06:05,2025-12-18 22:51:25,,,False,D0044,,S0019,10,9.0,3355,S0019,,,,,
img_0061,raw/imgs/IMG_3357.jpeg,IMG_3357.jpeg,.jpeg,2398395,c4e2f992e8b1fd3e93370e6cf3a37560b2a831cc87832d1c4916b0094514e5b4,4032,3024,Apple,iPhone XR,2023:06:21 15:14:16,2023-06-21 15:14:16,2025-12-18 22:51:26,,,False,D0045,,S0020,1,491.0,3357,S0020,,,,,
